NODE_TYPE,NODE_ID,DATA,EDGE_TYPE,EDGE_FROM,EDGE_TO,EXTRA
,,NONE,MAP,MO_100001_114,MO_1_11308,
,,NONE,MAP,MO_100001_114,VMR_2_152657,
,,NONE,MAP,MO_100001_115,MO_1_11392,
,,NONE,MAP,MO_100001_115,VMR_2_152741,
,,NONE,MAP,MO_100001_116,MO_1_11393,
,,NONE,MAP,MO_100001_116,VMR_2_152742,
,,NONE,MAP,MO_100001_117,MO_1_11394,
,,NONE,MAP,MO_100001_117,VMR_2_152743,
,,NONE,MAP,MO_100001_118,MO_1_11395,
,,NONE,MAP,MO_100001_118,VMR_2_152744,
,,NONE,MAP,MO_100001_119,MO_1_11396,
,,NONE,MAP,MO_100001_119,VMR_2_152745,
,,NONE,MAP,MO_100001_120,MO_1_11397,
,,NONE,MAP,MO_100001_120,VMR_2_152746,
,,NONE,MAP,MO_100001_121,MO_1_11398,
,,NONE,MAP,MO_100001_121,VMR_2_152747,
,,NONE,MAP,MO_100001_122,MO_1_11399,
,,NONE,MAP,MO_100001_122,VMR_2_152748,
,,NONE,MAP,MO_100001_123,MO_1_11400,
,,NONE,MAP,MO_100001_123,VMR_2_152749,
,,NONE,MAP,MO_100001_124,MO_1_11401,
,,NONE,MAP,MO_100001_124,VMR_2_152750,
,,NONE,MAP,MO_100001_125,MO_1_11402,
,,NONE,MAP,MO_100001_125,VMR_2_152751,
,,NONE,MAP,MO_100001_126,MO_1_11403,
,,NONE,MAP,MO_100001_126,VMR_2_152752,
,,NONE,MAP,MO_100001_127,MO_1_11404,
,,NONE,MAP,MO_100001_127,VMR_2_152753,
,,NONE,MAP,MO_100001_128,MO_1_11425,
,,NONE,MAP,MO_100001_128,VMR_2_152774,
,,NONE,MAP,MO_100001_129,MO_1_11426,
,,NONE,MAP,MO_100001_129,VMR_2_152775,
,,NONE,MAP,MO_100001_130,MO_1_11427,
,,NONE,MAP,MO_100001_130,VMR_2_152776,
,,NONE,MAP,MO_100001_131,MO_1_11428,
,,NONE,MAP,MO_100001_131,VMR_2_152777,
,,NONE,MAP,MO_100001_132,MO_1_11429,
,,NONE,MAP,MO_100001_132,VMR_2_152778,
,,NONE,MAP,MO_100001_133,MO_1_11430,
,,NONE,MAP,MO_100001_133,VMR_2_152779,
,,NONE,MAP,MO_100001_134,MO_1_11431,
,,NONE,MAP,MO_100001_134,VMR_2_152780,
,,NONE,MAP,MO_100001_135,MO_1_11432,
,,NONE,MAP,MO_100001_135,VMR_2_152781,
,,NONE,MAP,MO_100001_136,MO_1_11433,
,,NONE,MAP,MO_100001_136,VMR_2_152782,
,,NONE,MAP,MO_100001_137,MO_1_11434,
,,NONE,MAP,MO_100001_137,VMR_2_152783,
,,NONE,MAP,MO_100001_138,MO_1_11435,
,,NONE,MAP,MO_100001_138,VMR_2_152784,
,,NONE,MAP,MO_100001_139,MO_1_11436,
,,NONE,MAP,MO_100001_139,VMR_2_152785,
,,NONE,MAP,MO_100001_140,MO_1_12737,
,,NONE,MAP,MO_100001_140,VMR_2_153057,
,,NONE,MAP,MO_100001_141,MO_1_12779,
,,NONE,MAP,MO_100001_141,VMR_2_153099,
,,NONE,MAP,MO_100001_142,MO_1_12866,
,,NONE,MAP,MO_100001_142,VMR_2_153186,
,,NONE,MAP,MO_100001_143,MO_1_12867,
,,NONE,MAP,MO_100001_143,VMR_2_153187,
,,NONE,MAP,MO_100001_144,MO_1_12931,
,,NONE,MAP,MO_100001_144,VMR_2_153251,
,,NONE,MAP,MO_100001_145,MO_1_12932,
,,NONE,MAP,MO_100001_145,VMR_2_153252,
,,NONE,MAP,MO_100001_146,MO_1_12933,
,,NONE,MAP,MO_100001_146,VMR_2_153253,
,,NONE,MAP,MO_100001_147,MO_1_12934,
,,NONE,MAP,MO_100001_147,VMR_2_153254,
,,NONE,MAP,MO_100001_148,MO_1_12935,
,,NONE,MAP,MO_100001_148,VMR_2_153255,
,,NONE,MAP,MO_100001_149,MO_1_12936,
,,NONE,MAP,MO_100001_149,VMR_2_153256,
,,NONE,MAP,MO_100001_150,MO_1_12937,
,,NONE,MAP,MO_100001_150,VMR_2_153257,
,,NONE,MAP,MO_100001_151,MO_1_12938,
,,NONE,MAP,MO_100001_151,VMR_2_153258,
,,NONE,MAP,MO_100001_152,MO_1_12939,
,,NONE,MAP,MO_100001_152,VMR_2_153259,
,,NONE,MAP,MO_100001_153,MO_1_12940,
,,NONE,MAP,MO_100001_153,VMR_2_153260,
,,NONE,MAP,MO_100001_154,MO_1_12941,
,,NONE,MAP,MO_100001_154,VMR_2_153261,
,,NONE,MAP,MO_100001_155,MO_1_12942,
,,NONE,MAP,MO_100001_155,VMR_2_153262,
,,NONE,MAP,MO_100001_156,MO_1_12943,
,,NONE,MAP,MO_100001_156,VMR_2_153263,
,,NONE,MAP,MO_100001_157,MO_1_12944,
,,NONE,MAP,MO_100001_157,VMR_2_153264,
,,NONE,MAP,MO_100001_158,MO_1_12945,
,,NONE,MAP,MO_100001_158,VMR_2_153265,
,,NONE,MAP,MO_100001_159,MO_1_12946,
,,NONE,MAP,MO_100001_159,VMR_2_153266,
,,NONE,MAP,MO_100001_160,MO_1_12947,
,,NONE,MAP,MO_100001_160,VMR_2_153267,
,,NONE,MAP,MO_100001_161,MO_1_12948,
,,NONE,MAP,MO_100001_161,VMR_2_153268,
,,NONE,MAP,MO_100001_162,MO_1_12949,
,,NONE,MAP,MO_100001_162,VMR_2_153269,
,,NONE,MAP,MO_100001_163,MO_1_12950,
,,NONE,MAP,MO_100001_163,VMR_2_153270,
,,NONE,MAP,MO_100001_164,MO_1_12951,
,,NONE,MAP,MO_100001_164,VMR_2_153271,
,,NONE,MAP,MO_100001_165,MO_1_12952,
,,NONE,MAP,MO_100001_165,VMR_2_153272,
,,NONE,MAP,MO_100001_166,MO_1_12953,
,,NONE,MAP,MO_100001_166,VMR_2_153273,
,,NONE,MAP,MO_100001_167,MO_1_12954,
,,NONE,MAP,MO_100001_167,VMR_2_153274,
,,NONE,MAP,MO_100001_168,MO_1_12957,
,,NONE,MAP,MO_100001_168,VMR_2_153277,
,,NONE,MAP,MO_100001_169,MO_1_12958,
,,NONE,MAP,MO_100001_169,VMR_2_153278,
,,NONE,MAP,MO_100001_170,MO_1_12959,
,,NONE,MAP,MO_100001_170,VMR_2_153279,
,,NONE,MAP,MO_100001_171,MO_1_12960,
,,NONE,MAP,MO_100001_171,VMR_2_153280,
,,NONE,MAP,MO_100001_172,MO_1_12961,
,,NONE,MAP,MO_100001_172,VMR_2_153281,
,,NONE,MAP,MO_100001_173,MO_1_26312,
,,NONE,MAP,MO_100001_173,VMR_2_153846,
,,NONE,MAP,MO_100001_174,MO_1_26313,
,,NONE,MAP,MO_100001_174,VMR_2_153847,
,,NONE,MAP,MO_100001_175,MO_1_26314,
,,NONE,MAP,MO_100001_175,VMR_2_153848,
,,NONE,MAP,MO_100001_176,MO_1_26315,
,,NONE,MAP,MO_100001_176,VMR_2_153849,
,,NONE,MAP,MO_100001_177,MO_1_26316,
,,NONE,MAP,MO_100001_177,VMR_2_153850,
,,NONE,MAP,MO_100001_178,MO_1_26317,
,,NONE,MAP,MO_100001_178,VMR_2_153851,
,,NONE,MAP,MO_100001_179,MO_1_26318,
,,NONE,MAP,MO_100001_179,VMR_2_153852,
,,NONE,MAP,MO_100001_180,MO_1_26319,
,,NONE,MAP,MO_100001_180,VMR_2_153853,
,,NONE,MAP,MO_100001_181,MO_1_26320,
,,NONE,MAP,MO_100001_181,VMR_2_153854,
,,NONE,MAP,MO_100001_182,MO_1_26321,
,,NONE,MAP,MO_100001_182,VMR_2_153855,
,,NONE,MAP,MO_100001_183,MO_1_26322,
,,NONE,MAP,MO_100001_183,VMR_2_153856,
,,NONE,MAP,MO_100001_184,MO_1_26323,
,,NONE,MAP,MO_100001_184,VMR_2_153857,
,,NONE,MAP,MO_100001_185,MO_1_26324,
,,NONE,MAP,MO_100001_185,VMR_2_153858,
,,NONE,MAP,MO_100001_186,MO_1_26325,
,,NONE,MAP,MO_100001_186,VMR_2_153859,
,,NONE,MAP,MO_100001_187,MO_1_26326,
,,NONE,MAP,MO_100001_187,VMR_2_153860,
,,NONE,MAP,MO_100001_188,MO_1_26327,
,,NONE,MAP,MO_100001_188,VMR_2_153861,
,,NONE,MAP,MO_100001_189,MO_1_26328,
,,NONE,MAP,MO_100001_189,VMR_2_153862,
,,NONE,MAP,MO_100001_190,MO_1_26329,
,,NONE,MAP,MO_100001_190,VMR_2_153863,
,,NONE,MAP,MO_100001_191,MO_1_26330,
,,NONE,MAP,MO_100001_191,VMR_2_153864,
,,NONE,MAP,MO_100001_192,MO_1_26331,
,,NONE,MAP,MO_100001_192,VMR_2_153865,
,,NONE,MAP,MO_100001_193,MO_1_26332,
,,NONE,MAP,MO_100001_193,VMR_2_153866,
,,NONE,MAP,MO_100001_194,MO_1_26333,
,,NONE,MAP,MO_100001_194,VMR_2_153867,
,,NONE,MAP,MO_100001_195,MO_1_26354,
,,NONE,MAP,MO_100001_195,VMR_2_153888,
,,NONE,MAP,MO_100001_196,MO_1_26355,
,,NONE,MAP,MO_100001_196,VMR_2_153889,
,,NONE,MAP,MO_100001_197,MO_1_26356,
,,NONE,MAP,MO_100001_197,VMR_2_153890,
,,NONE,MAP,MO_100001_198,MO_1_26357,
,,NONE,MAP,MO_100001_198,VMR_2_153891,
,,NONE,MAP,MO_100001_199,MO_1_26358,
,,NONE,MAP,MO_100001_199,VMR_2_153892,
